Username,Handle,Timestamp,Content,Replies,Retweets,Likes,Hashtags,Mentions
Alvar,@Alvar363,17-11-2025 01:35,· | 1m | Replying to,@Alvar363,Just for fun  #nifty50 #Nifty,6,,
Biplab Das,@Biplab_Das_IND,17-11-2025 01:04,"· | 32m | #GoodNightX subha dekhenge  |  | #Nifty  | #Nifty50  | #StockMarket  | #OptionsTrading | Biplab Das | @Biplab_Das_IND | · | Nov 15 | FIIs mildly increased both call and put longs, showing cautious positioning. |","PROs flipped bullish on calls and aggressively added put longs, signaling strong hedge buildup or volatility play.",2,85,"#GoodNightX, #Nifty, #Nifty50, #StockMarket, #OptionsTrading",@Biplab_Das_IND
Mark Russell Bell,@MarkRussellBel1,,Ad | Beloved John's scary or surprising YouTube & TikTok prank videos provide startling indications about essential paranormal / metaphysical / spiritual / cosmological truths about Earth life that commercial journalists and others may be afraid to acknowledge.  | metaphysicalarticles.org/2025/05/the-pa | … | NONCOMMERCIAL | From metaphysicalarticles.org,2,5,29K,,
Passionate Investor,@dang_investor,17-11-2025 00:26,· | 1h | Looks like an uptrend channel is forming on the chart,Will the structure hold?,Which stock do u think is this? #nifty #nifty50 #StocksToWatch  #stocks #stocksmarket #India,144,,
𝐇𝐞𝐥𝐭𝐨𝐧 𝐘𝐓 𝐓𝐫𝐚𝐝𝐞𝐫,@HELTON_YT1,16-11-2025 23:04,· | 2h |  Top 6 High-Probability Breakout  Set-ups  |  | 1-  Hindustan Zinc  | CMP = 487 |  | #StockMarket #Stocks #Nifty50 #NSE #IPO #Breakoutstocks #GMP #TradingTips #viral #Multibagger #Groww #Trending | 1,1,3,326,"#StockMarket, #Stocks, #Nifty50, #NSE, #IPO, #Breakoutstocks, #GMP, #TradingTips, #viral, #Multibagger, #Groww, #Trending",
Prince Tiwari (ptanalysis),@ptanalysis,16-11-2025 23:04,· | 2h | Replying to  | @ptanalysis,"Gift Nifty now 26,000+.",#Nifty #Nifty50 #GIFTNIFTY #NiftyBank,364,,@ptanalysis
iwannabecrorepati,@iwannabecr31589,16-11-2025 23:02,·,2h,Since 2010 surpassing All Time High time period is decreasing while hitting new All Time High from previous high is increasing except this #BullRun  . #Nifty #Nifty50,275,,
fufaa.jii,@fufaajii,16-11-2025 23:01,"· | 2h | #StockMarket #Nifty50 #BiharElection2025 | Sohanjit Nayek | @NayekSo | · | 2h | Thinking of starting a daily 10 PM market discussion where traders share their analysis — purely knowledge sharing, no “tips & tricks.” Should we host this space? Your thoughts  |",#StockMarket #Nifty50 #TradingCommunity #investing #RetailTraders ,1,218,"#StockMarket, #Nifty50, #BiharElection2025",@NayekSo
Sohanjit Nayek,@NayekSo,16-11-2025 22:56,"· | 2h | Thinking of starting a daily 10 PM market discussion where traders share their analysis — purely knowledge sharing, no “tips & tricks.” Should we host this space? Your thoughts  |  | #StockMarket #Nifty50 #TradingCommunity #investing #RetailTraders #FinanceChat",4,3,337,"#StockMarket, #Nifty50, #TradingCommunity, #investing, #RetailTraders, #FinanceChat",
Varun deckco,@Varundeckco,16-11-2025 22:54,·,2h,Kal Nifty girega #Nifty50,150,,
Trading Zone,@prsablue,16-11-2025 22:46,"· | 2h | I love these kinds of setups |  | Missed this one,but I relentlessly look for setups like this |  | #YATRA |  | #nifty #nifty50 #sensex #stockmarket #banknifty #StocksToWatch #giftnifty #StocksInFocus #stocks #watchlist #investment | 1",1,6,490,"#YATRA, #nifty, #nifty50, #sensex, #stockmarket, #banknifty, #StocksToWatch, #giftnifty, #StocksInFocus, #stocks, #watchlist, #investment",
AP,@ashupayal25,16-11-2025 22:46,"· | 2h | Nifty 25910..!!  More upside pending.. Keep Trailing.. new ATH coming soon.. | #StockMarket | #Nifty50 #Banknifty #IndiaMarket | AP | @ashupayal25 | · | Nov 8 |  BANG ON! Nifty kissed 25,318 (just 2 pts off my level) and reversed like a boss!","From 25,318 → 25,565+, a clean 250-pt rally in one session!","That’s what chart strength looks like — support held, bulls back in charge ",189,"#StockMarket, #Nifty50, #Banknifty, #IndiaMarket",@ashupayal25
VISHAL/ASHA ’s SWING TRADE,@vishalswing,16-11-2025 22:39,· | 2h | Nifty crucial breakout zone par stand-by mode me hai. Bas ek strong green candle — aur uptrend confirmation locked. (Only for educational insight) |,#Nifty50 #TrendAnalysis #BreakoutWatch #PriceActionTrading #MarketInsights #VishalSwingTrade #EducationOnly,2,203,,
Sohanjit Nayek,@NayekSo,16-11-2025 22:36,· | 3h | Kal ka market dekhkar hi pata chalega ki weekend pizza hoga ya Maggi,,#StockMarket #Nifty50,135,,
Powerful Trade,@TradePowerful,16-11-2025 22:31,"· | 3h | Nifty's Detailed study is completed:  | #Nifty50 | #banknifty | #sensex |  | 1. Short term: #Nifty is bullish and may hit ath,  Resistance zone for this year 26400 to 26800. | 2. FIIs are holding shorts about 80% and more which means Nifty may not rally before giving them the exit. | 3. Now | Show more | Powerful Trade | @TradePowerful | · | Nov 14 | This above view in Nifty is not worked and will study in detail and post by tomorrow.  |  | #Nifty x.com/tradepowerful/…",2,1,294,"#Nifty50, #banknifty, #sensex, #Nifty, #Nifty",@TradePowerful
Harsh Seth,@HarshDSeth,16-11-2025 22:04,· | 3h |  Hot Investment Call   |  | Godrej Agrovet Ltd.   |  | CMP Rs. 567 | Target Rs. 820   | Mid Term Investment   |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex | 1,2,2,641,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",
Sohanjit Nayek,@NayekSo,16-11-2025 22:04,"· | 3h | Replying to  | @kapildhama | Sach bolun toh trading ka asli game profit ka nahi, drawdown control ka hai. | 40% DD ek baar lag gaya toh account aapse zyada recover karne me struggle karta hai. | Small loss = cost of business. Big loss = end of business. |",#StockMarket #Nifty50,1,205,,@kapildhama
Stockhub22,@Stockhub22,16-11-2025 22:02,·,3h,Updated levels of Panchak on Nifty 50 stocks..  #Nifty50 #JSWSteel #KotakBank #MahindraandMahindra #NestleIndia #Stockhub22 #Stockshub22 #StockmarketIndia #Stockeducation #Financialastrology,180,,
Sohanjit Nayek,@NayekSo,16-11-2025 22:02,"· | 3h | Nifty likely to open gap-up tomorrow — backed by positive global cues and offshore futures, but strength looks weak. |",#StockMarket #Nifty50,1,219,,
Stockhub22,@Stockhub22,16-11-2025 21:59,·,3h,Updated levels of Panchak on Nifty 50 stocks..  #Nifty50 #ITC #IndusindBank #ICICIBank #Infosys #Stockhub22 #Stockshub22 #StockmarketIndia #Stockeducation #Financialastrology,200,,
Hemraj Jeure,@iamhemu2231,16-11-2025 21:59,"· | 3h | Nifty looks steady, but not simple. |  | Chasing highs needs patience - chasing trades needs caution. |",This isn’t a “buy everything” market.,It’s a “wait for confirmation and pick quality” market. #Nifty50 #MarketOpen,158,,
TRADE WITH AKSHAY,@AKSHAYS58846431,16-11-2025 21:57,· | 3h | Bears   |  | Ready ? |  | Sab Bullish Ho Gaye He Bihar Election Ke din  |  | Last 15/20 Ka Time Dekh Kar |  | Bears Red Car Nikal Dee he  |  | Kohram Machega Ab  |  | Just Wait And Watch  |  | Bulls   |  | #Nifty50  | #StockMarket  | #StockMarketIndia,#OptionsTrading,1,164,"#Nifty50, #StockMarket, #StockMarketIndia",
Sanjeev Gaur,@Sanjeev_DT,16-11-2025 21:42,· | 3h | Prem ki varsha prarambh ho gayi hai.  |  | Daily Updates at: | ift.tt/AcNLEmQ |,#Trading #Nifty50 #BTCUSD #Gold #Stocks,1,141,,
